Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C18, C25, C26, C27, C28, C29, C31, C33, C34, C35, C36, C37, C38, C4, C5, C6, C7, C9",0603,22,100nF,C14663
"C12, C39, C40, C41, C42",0603,5,1nF,C1588
"C13, C14, C15, C16, C8",0402,5,10uF,C15525
"C19, C20, C21, C22, C23, C24",0603,6,22uF,C59461
"C2, C3, C30, C32",0603,4,18pF,C1647
D1,0805,1,Yellow,C2296
D2,0805,1,Green,C2297
D3,0603,1,Red,C2286
"H1, H2, H3, H4, H5, H6, H7, H8",screw_hole,8,MountingHole,
J1,PinSocket_2x20_P2.54mm_Vertical_1_04mm,1,Raspberry_Pi_2_3,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J3, J4, J5, J6",Heling MJ88-B211-JRS3,4,8P8C_LED,C2895614
L1,0805,1,Ferrite Beads,C1015
"L2, L3",L_Taiyo-Yuden_MD-5050,2,1.5uH,C702825
"R1, R17, R2, R20",1206,4,10k,C17902
"R10, R7, R8, R9",0402,4,49.9,C25120
"R11, R12, R13, R14, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53",0603,20,75,C4275
R15,0603,1,3.3k,C22978
R16,0603,1,4.99k,C23046
R18,0603,1,6.2k,C4260
R19,0603,1,39k,C23153
"R21, R28, R3, R4",0402,4,470,C25117
"R22, R23, R24, R26, R29, R30, R31, R32, R33, R34, R35, R36, R37",0402,13,4.7k,C25900
R25,0603,1,1k,C21190
"R27, R5",0402,2,2k,C4109
R6,0402,1,330,C25104
TP3,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,1,Ground point,
"TR1, TR2, TR3, TR4, TR5",G2406S,5,G2406S,C507595
U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,ENC28J60-I/SO,C47351
"U2, U3",SOT-563,2,TPS562231,C2070899
U4,LQFP-128_14x14mm_P0.4mm,1,RTL8367S,C2760849
"Y1, Y2",Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,2,25Mhz,C9006
