Designator,Mid X,Mid Y,Rotation,Layer
C1,100.5,-81.75,180.0,top
C10,82.25,-72.0,180.0,top
C11,87.975,-82.0,180.0,top
C12,86.225,-99.97,180.0,top
C13,152.75,-64.25,0.0,top
C14,153.27,-82.35,0.0,top
C15,152.75,-65.5,0.0,top
C16,153.25,-83.6,0.0,top
C17,156.75,-70.975,270.0,top
C18,156.75,-87.575,270.0,top
C19,151.975,-75.4,0.0,top
C2,95.2,-79.275,90.0,top
C20,153.225,-91.6,0.0,top
C21,151.975,-77.15,0.0,top
C22,153.25,-93.1,0.0,top
C23,151.975,-78.9,0.0,top
C24,153.225,-94.75,0.0,top
C25,115.451992,-98.048008,225.0,top
C26,112.932516,-84.422019,225.0,top
C27,136.75,-90.75,315.0,top
C28,133.778532,-85.326003,45.0,top
C29,131.0,-96.25,315.0,top
C3,101.45,-79.225,270.0,top
C30,109.980524,-83.374011,135.0,top
C31,132.480524,-84.124011,45.0,top
C32,114.432516,-78.826003,315.0,top
C33,129.798008,-97.548008,315.0,top
C34,119.182516,-78.374011,135.0,top
C35,85.225,-104.25,180.0,top
C36,118.225,-104.25,0.0,top
C37,135.225,-104.25,0.0,top
C38,159.475,-104.25,0.0,top
C39,100.775,-118.75,0.0,top
C4,105.25,-79.075,270.0,top
C40,118.0,-118.75,0.0,top
C41,135.775,-118.75,0.0,top
C42,159.775,-118.75,0.0,top
C5,88.0,-78.475,270.0,top
C6,93.25,-78.5,270.0,top
C7,103.25,-79.025,270.0,top
C8,104.5,-63.27,90.0,top
C9,82.225,-70.0,180.0,top
D1,79.8125,-92.0,0.0,top
D2,79.8125,-95.0,0.0,top
D3,159.5375,-98.25,180.0,top
H1,80.75,-56.479672,0.0,top
H2,80.825,-65.775,0.0,top
H3,80.8,-79.529672,0.0,top
H4,80.825,-114.775,90.0,top
H5,138.75,-56.5,0.0,top
H6,138.825,-65.775,0.0,top
H7,138.8,-79.529672,0.0,top
H8,138.825,-114.775,0.0,top
J1,109.88,-56.53,270.0,bottom
J2,148.23,-56.75,270.0,top
J3,88.805,-130.76500000000001,0.0,top
J4,109.80000000000001,-130.76500000000001,0.0,top
J5,130.795,-130.76500000000001,0.0,top
J6,151.79,-130.76500000000001,0.0,top
L1,83.75,-75.3125,0.0,top
L2,149.225,-71.2,270.0,top
L3,150.0,-87.8,270.0,top
R1,94.5,-61.9625,270.0,top
R10,85.5,-72.0,180.0,top
R11,98.5,-99.22,90.0,top
R12,95.5,-99.22,90.0,top
R13,92.5,-99.22,90.0,top
R14,89.5,-99.295,90.0,top
R15,159.75,-69.425,90.0,top
R16,159.75,-66.25,90.0,top
R17,156.4625,-65.5,180.0,top
R18,159.5,-89.1,90.0,top
R19,159.5,-85.925,90.0,top
R2,92.25,-61.9625,270.0,top
R20,158.0,-83.1,180.0,top
R21,156.49,-98.25,0.0,top
R22,131.42,-64.61,90.0,top
R23,131.42,-71.36,90.0,top
R24,114.480524,-85.124011,45.0,top
R25,127.313887,-78.790648,45.0,top
R26,118.639376,-79.639376,135.0,top
R27,131.360624,-100.360624,315.0,top
R28,132.75,-101.75,315.0,top
R29,127.67,-71.36,270.0,top
R3,83.3025,-92.0,180.0,top
R30,127.67,-64.6,270.0,top
R31,123.67,-64.6,90.0,top
R32,123.67,-71.35,90.0,top
R33,117.1199,-81.263387,315.0,top
R34,116.3699,-82.013387,135.0,top
R35,119.92,-64.59,90.0,top
R36,119.92,-71.34,90.0,top
R37,99.759999,-60.0,180.0,top
R38,98.5,-118.0,90.0,top
R39,95.5,-118.0,90.0,top
R4,83.3025,-95.0,180.0,top
R40,92.5,-118.0,90.0,top
R41,89.5,-118.0,90.0,top
R42,115.75,-118.0,90.0,top
R43,112.75,-118.0,90.0,top
R44,109.75,-118.0,90.0,top
R45,106.75,-118.0,90.0,top
R46,132.75,-118.0,90.0,top
R47,129.75,-118.0,90.0,top
R48,126.75,-118.0,90.0,top
R49,123.75,-118.0,90.0,top
R5,88.0,-63.24,90.0,top
R50,157.0,-118.0,90.0,top
R51,154.0,-118.0,90.0,top
R52,151.0,-118.0,90.0,top
R53,148.0,-118.0,90.0,top
R6,88.0,-60.99,90.0,top
R7,85.49,-69.0,180.0,top
R8,85.49,-70.0,180.0,top
R9,85.5,-71.0,180.0,top
TP3,158.73,-56.75,0.0,top
TR1,92.9755,-91.851,180.0,top
TR2,92.9755,-110.381,180.0,top
TR3,110.2255,-110.381,180.0,top
TR4,127.2255,-110.381,180.0,top
TR5,151.4755,-110.381,180.0,top
U1,96.345,-70.65,180.0,top
U2,154.2125,-69.25,270.0,top
U3,154.4625,-86.0,270.0,top
U4,122.928256,-89.658155,45.0,top
Y1,98.35,-79.1,0.0,top
Y2,112.101666,-81.050788,45.0,top
